Year	10_30yr	30_50yr	50_80yr	80_200yr	200_500yr
0	0.001638	0.011145	-0.005398	0.016667	-0.385570
1	0.004217	0.009777	-0.003653	0.022149	-0.383366
2	0.006306	0.008030	-0.001848	0.027650	-0.381154
3	0.007967	0.005882	0.000006	0.033160	-0.378932
4	0.009269	0.003328	0.001899	0.038667	-0.376704
5	0.010246	0.000381	0.003817	0.044162	-0.374471
6	0.010884	-0.002923	0.005749	0.049632	-0.372232
7	0.011135	-0.006529	0.007682	0.055068	-0.369991
8	0.010938	-0.010359	0.009600	0.060456	-0.367748
9	0.010246	-0.014320	0.011490	0.065785	-0.365504
10	0.009048	-0.018298	0.013337	0.071044	-0.363262
11	0.007372	-0.022169	0.015125	0.076221	-0.361022
12	0.005288	-0.025799	0.016840	0.081304	-0.358785
13	0.002898	-0.029049	0.018465	0.086282	-0.356553
14	0.000326	-0.031782	0.019986	0.091142	-0.354328
15	-0.002296	-0.033868	0.021387	0.095872	-0.352111
16	-0.004840	-0.035189	0.022654	0.100462	-0.349903
17	-0.007190	-0.035645	0.023770	0.104900	-0.347705
18	-0.009248	-0.035157	0.024723	0.109174	-0.345519
19	-0.010934	-0.033676	0.025500	0.113274	-0.343347
20	-0.012191	-0.031181	0.026087	0.117187	-0.341189
21	-0.012980	-0.027687	0.026474	0.120904	-0.339047
22	-0.013276	-0.023240	0.026651	0.124415	-0.336922
23	-0.013070	-0.017925	0.026609	0.127708	-0.334816
24	-0.012366	-0.011856	0.026341	0.130775	-0.332730
25	-0.011181	-0.005183	0.025844	0.133606	-0.330665
26	-0.009546	0.001921	0.025113	0.136192	-0.328622
27	-0.007504	0.009258	0.024148	0.138527	-0.326603
28	-0.005114	0.016614	0.022953	0.140602	-0.324609
29	-0.002448	0.023764	0.021529	0.142411	-0.322641
30	0.000408	0.030484	0.019886	0.143949	-0.320700
31	0.003354	0.036551	0.018033	0.145210	-0.318788
32	0.006281	0.041758	0.015983	0.146191	-0.316905
33	0.009073	0.045917	0.013750	0.146890	-0.315052
34	0.011613	0.048867	0.011353	0.147303	-0.313232
35	0.013788	0.050484	0.008814	0.147432	-0.311443
36	0.015497	0.050679	0.006155	0.147276	-0.309689
37	0.016649	0.049410	0.003402	0.146838	-0.307969
38	0.017175	0.046678	0.000584	0.146120	-0.306285
39	0.017029	0.042533	-0.002272	0.145125	-0.304637
40	0.016189	0.037072	-0.005133	0.143860	-0.303026
41	0.014666	0.030433	-0.007968	0.142331	-0.301454
42	0.012501	0.022799	-0.010745	0.140543	-0.299920
43	0.009766	0.014384	-0.013429	0.138506	-0.298426
44	0.006561	0.005435	-0.015990	0.136229	-0.296972
45	0.003013	-0.003783	-0.018396	0.133719	-0.295559
46	-0.000731	-0.012991	-0.020616	0.130989	-0.294188
47	-0.004507	-0.021906	-0.022621	0.128048	-0.292859
48	-0.008148	-0.030251	-0.024386	0.124908	-0.291573
49	-0.011486	-0.037765	-0.025887	0.121580	-0.290331
50	-0.014366	-0.044209	-0.027104	0.118075	-0.289132
51	-0.016652	-0.049378	-0.028019	0.114404	-0.287977
52	-0.018237	-0.053103	-0.028621	0.110581	-0.286866
53	-0.019045	-0.055262	-0.028898	0.106615	-0.285801
54	-0.019039	-0.055782	-0.028848	0.102518	-0.284780
55	-0.018223	-0.054640	-0.028468	0.098302	-0.283806
56	-0.016640	-0.051868	-0.027764	0.093977	-0.282876
57	-0.014373	-0.047547	-0.026742	0.089554	-0.281993
58	-0.011536	-0.041810	-0.025416	0.085043	-0.281156
59	-0.008271	-0.034832	-0.023801	0.080454	-0.280364
60	-0.004737	-0.026829	-0.021918	0.075797	-0.279619
61	-0.001104	-0.018050	-0.019790	0.071081	-0.278920
62	0.002458	-0.008764	-0.017444	0.066316	-0.278267
63	0.005791	0.000739	-0.014909	0.061510	-0.277660
64	0.008753	0.010169	-0.012217	0.056674	-0.277099
65	0.011226	0.019236	-0.009400	0.051816	-0.276583
66	0.013121	0.027663	-0.006494	0.046944	-0.276113
67	0.014384	0.035197	-0.003533	0.042069	-0.275689
68	0.014992	0.041612	-0.000554	0.037198	-0.275310
69	0.014956	0.046719	0.002410	0.032342	-0.274975
70	0.014319	0.050374	0.005322	0.027510	-0.274684
71	0.013151	0.052476	0.008150	0.022710	-0.274438
72	0.011545	0.052974	0.010862	0.017953	-0.274235
73	0.009611	0.051868	0.013427	0.013248	-0.274076
74	0.007464	0.049207	0.015818	0.008606	-0.273959
75	0.005222	0.045088	0.018010	0.004035	-0.273884
76	0.002995	0.039652	0.019979	-0.000454	-0.273851
77	0.000880	0.033077	0.021706	-0.004852	-0.273858
78	-0.001043	0.025577	0.023175	-0.009149	-0.273907
79	-0.002715	0.017389	0.024371	-0.013334	-0.273994
80	-0.004098	0.008771	0.025285	-0.017400	-0.274121
81	-0.005182	-0.000011	0.025909	-0.021336	-0.274286
82	-0.005973	-0.008689	0.026240	-0.025134	-0.274489
83	-0.006500	-0.017001	0.026276	-0.028785	-0.274728
84	-0.006802	-0.024700	0.026020	-0.032283	-0.275003
85	-0.006924	-0.031562	0.025476	-0.035619	-0.275314
86	-0.006912	-0.037389	0.024653	-0.038786	-0.275659
87	-0.006805	-0.042018	0.023562	-0.041780	-0.276037
88	-0.006635	-0.045324	0.022214	-0.044593	-0.276448
89	-0.006422	-0.047226	0.020627	-0.047223	-0.276890
90	-0.006173	-0.047683	0.018816	-0.049664	-0.277364
91	-0.005882	-0.046700	0.016801	-0.051915	-0.277867
92	-0.005537	-0.044325	0.014603	-0.053971	-0.278398
93	-0.005119	-0.040648	0.012245	-0.055833	-0.278958
94	-0.004610	-0.035795	0.009750	-0.057500	-0.279544
95	-0.003994	-0.029927	0.007144	-0.058971	-0.280156
96	-0.003262	-0.023233	0.004452	-0.060247	-0.280792
97	-0.002410	-0.015923	0.001701	-0.061330	-0.281452
