Year	10_30yr	30_50yr	50_80yr	80_200yr	200_500yr
0	0.001268	0.009030	0.032201	0.036064	-0.332937
1	0.004007	0.010579	0.037341	0.039381	-0.331391
2	0.006328	0.011865	0.042267	0.042643	-0.329840
3	0.008238	0.012833	0.046935	0.045838	-0.328286
4	0.009741	0.013437	0.051302	0.048956	-0.326728
5	0.010820	0.013641	0.055327	0.051984	-0.325169
6	0.011435	0.013428	0.058970	0.054913	-0.323608
7	0.011535	0.012793	0.062194	0.057732	-0.322048
8	0.011085	0.011747	0.064965	0.060433	-0.320489
9	0.010075	0.010318	0.067251	0.063005	-0.318932
10	0.008542	0.008550	0.069027	0.065442	-0.317378
11	0.006566	0.006497	0.070268	0.067736	-0.315828
12	0.004269	0.004230	0.070957	0.069879	-0.314284
13	0.001798	0.001825	0.071079	0.071868	-0.312745
14	-0.000691	-0.000634	0.070627	0.073696	-0.311214
15	-0.003043	-0.003059	0.069594	0.075360	-0.309691
16	-0.005121	-0.005363	0.067984	0.076857	-0.308177
17	-0.006813	-0.007463	0.065802	0.078184	-0.306674
18	-0.008044	-0.009281	0.063061	0.079339	-0.305181
19	-0.008768	-0.010749	0.059776	0.080323	-0.303701
20	-0.008976	-0.011813	0.055970	0.081134	-0.302233
21	-0.008688	-0.012431	0.051671	0.081775	-0.300780
22	-0.007951	-0.012578	0.046910	0.082245	-0.299342
23	-0.006833	-0.012245	0.041724	0.082548	-0.297920
24	-0.005415	-0.011440	0.036154	0.082687	-0.296514
25	-0.003791	-0.010190	0.030244	0.082664	-0.295126
26	-0.002058	-0.008535	0.024043	0.082485	-0.293757
27	-0.000311	-0.006531	0.017603	0.082153	-0.292407
28	0.001359	-0.004246	0.010978	0.081674	-0.291077
29	0.002874	-0.001758	0.004227	0.081055	-0.289768
30	0.004168	0.000848	-0.002593	0.080300	-0.288481
31	0.005190	0.003483	-0.009421	0.079417	-0.287217
32	0.005905	0.006054	-0.016196	0.078412	-0.285976
33	0.006297	0.008475	-0.022856	0.077293	-0.284759
34	0.006369	0.010659	-0.029340	0.076068	-0.283566
35	0.006138	0.012531	-0.035588	0.074743	-0.282399
36	0.005637	0.014023	-0.041541	0.073328	-0.281258
37	0.004908	0.015081	-0.047143	0.071830	-0.280143
38	0.004003	0.015662	-0.052340	0.070257	-0.279055
39	0.002977	0.015741	-0.057081	0.068616	-0.277995
40	0.001885	0.015305	-0.061319	0.066916	-0.276963
41	0.000780	0.014360	-0.065012	0.065165	-0.275960
42	-0.000289	0.012925	-0.068123	0.063369	-0.274986
43	-0.001278	0.011034	-0.070619	0.061536	-0.274042
44	-0.002149	0.008735	-0.072473	0.059672	-0.273127
45	-0.002872	0.006088	-0.073665	0.057783	-0.272242
46	-0.003427	0.003164	-0.074180	0.055876	-0.271388
47	-0.003803	0.000040	-0.074012	0.053955	-0.270565
48	-0.003998	-0.003199	-0.073158	0.052025	-0.269774
49	-0.004018	-0.006464	-0.071624	0.050091	-0.269013
50	-0.003877	-0.009668	-0.069424	0.048155	-0.268284
51	-0.003593	-0.012721	-0.066577	0.046220	-0.267587
52	-0.003194	-0.015539	-0.063108	0.044289	-0.266922
53	-0.002710	-0.018041	-0.059051	0.042362	-0.266288
54	-0.002173	-0.020157	-0.054443	0.040442	-0.265687
55	-0.001616	-0.021822	-0.049329	0.038528	-0.265118
56	-0.001070	-0.022984	-0.043759	0.036621	-0.264581
57	-0.000561	-0.023604	-0.037787	0.034718	-0.264076
