Year	10_30yr	30_50yr	50_80yr	80_200yr	200_500yr
0	0.000387	0.003778	0.001646	-0.004364	-0.159382
1	0.000847	0.003617	0.002066	-0.003778	-0.159130
2	0.001242	0.003351	0.002479	-0.003179	-0.158879
3	0.001613	0.002971	0.002882	-0.002566	-0.158629
4	0.001972	0.002476	0.003273	-0.001941	-0.158379
5	0.002302	0.001866	0.003648	-0.001303	-0.158130
6	0.002569	0.001148	0.004004	-0.000654	-0.157882
7	0.002733	0.000332	0.004338	0.000005	-0.157635
8	0.002759	-0.000567	0.004647	0.000675	-0.157389
9	0.002626	-0.001528	0.004928	0.001353	-0.157146
10	0.002334	-0.002528	0.005179	0.002039	-0.156904
11	0.001898	-0.003540	0.005395	0.002733	-0.156665
12	0.001349	-0.004532	0.005574	0.003432	-0.156427
13	0.000725	-0.005474	0.005714	0.004137	-0.156193
14	0.000064	-0.006333	0.005812	0.004845	-0.155961
15	-0.000597	-0.007077	0.005866	0.005556	-0.155732
16	-0.001225	-0.007675	0.005873	0.006269	-0.155507
17	-0.001790	-0.008100	0.005832	0.006981	-0.155285
18	-0.002267	-0.008327	0.005742	0.007693	-0.155067
19	-0.002636	-0.008339	0.005600	0.008401	-0.154852
20	-0.002883	-0.008123	0.005406	0.009106	-0.154642
21	-0.003000	-0.007671	0.005161	0.009804	-0.154436
22	-0.002984	-0.006986	0.004863	0.010496	-0.154235
23	-0.002839	-0.006076	0.004513	0.011177	-0.154039
24	-0.002576	-0.004956	0.004113	0.011848	-0.153847
25	-0.002209	-0.003650	0.003664	0.012507	-0.153661
26	-0.001758	-0.002187	0.003168	0.013150	-0.153480
27	-0.001242	-0.000603	0.002629	0.013778	-0.153305
28	-0.000685	0.001060	0.002048	0.014387	-0.153136
29	-0.000111	0.002758	0.001432	0.014976	-0.152972
30	0.000458	0.004445	0.000783	0.015543	-0.152815
31	0.000997	0.006070	0.000108	0.016087	-0.152664
32	0.001487	0.007586	-0.000588	0.016606	-0.152520
33	0.001911	0.008947	-0.001297	0.017098	-0.152382
34	0.002253	0.010109	-0.002014	0.017562	-0.152251
35	0.002504	0.011034	-0.002731	0.017997	-0.152127
36	0.002660	0.011689	-0.003440	0.018401	-0.152011
37	0.002719	0.012050	-0.004133	0.018773	-0.151902
38	0.002683	0.012098	-0.004801	0.019113	-0.151800
39	0.002558	0.011825	-0.005436	0.019419	-0.151706
40	0.002350	0.011232	-0.006029	0.019690	-0.151619
41	0.002070	0.010327	-0.006572	0.019927	-0.151541
42	0.001731	0.009130	-0.007057	0.020128	-0.151470
43	0.001347	0.007667	-0.007475	0.020294	-0.151407
44	0.000936	0.005974	-0.007820	0.020424	-0.151353
45	0.000511	0.004091	-0.008085	0.020517	-0.151307
46	0.000088	0.002069	-0.008263	0.020575	-0.151269
47	-0.000321	-0.000043	-0.008350	0.020597	-0.151240
48	-0.000706	-0.002187	-0.008342	0.020583	-0.151219
49	-0.001058	-0.004308	-0.008235	0.020533	-0.151207
50	-0.001373	-0.006348	-0.008028	0.020448	-0.151203
51	-0.001647	-0.008253	-0.007720	0.020328	-0.151208
52	-0.001876	-0.009970	-0.007311	0.020173	-0.151222
53	-0.002057	-0.011452	-0.006805	0.019983	-0.151245
54	-0.002184	-0.012659	-0.006203	0.019759	-0.151276
55	-0.002252	-0.013556	-0.005512	0.019501	-0.151316
56	-0.002257	-0.014117	-0.004738	0.019209	-0.151365
57	-0.002194	-0.014325	-0.003888	0.018885	-0.151423
58	-0.002065	-0.014173	-0.002971	0.018527	-0.151489
59	-0.001872	-0.013662	-0.001996	0.018137	-0.151565
60	-0.001621	-0.012805	-0.000976	0.017714	-0.151649
61	-0.001322	-0.011621	0.000079	0.017259	-0.151742
62	-0.000989	-0.010139	0.001155	0.016774	-0.151843
63	-0.000635	-0.008397	0.002240	0.016257	-0.151953
64	-0.000276	-0.006438	0.003318	0.015709	-0.152072
65	0.000074	-0.004312	0.004378	0.015132	-0.152199
66	0.000400	-0.002071	0.005404	0.014526	-0.152335
67	0.000692	0.000226	0.006382	0.013892	-0.152478
68	0.000941	0.002522	0.007300	0.013230	-0.152631
69	0.001143	0.004760	0.008145	0.012542	-0.152791
70	0.001295	0.006883	0.008903	0.011829	-0.152960
71	0.001397	0.008838	0.009565	0.011093	-0.153136
72	0.001452	0.010576	0.010121	0.010335	-0.153320
73	0.001466	0.012055	0.010561	0.009557	-0.153512
74	0.001446	0.013237	0.010878	0.008761	-0.153712
75	0.001404	0.014095	0.011067	0.007948	-0.153919
76	0.001350	0.014607	0.011123	0.007123	-0.154133
77	0.001295	0.014763	0.011045	0.006286	-0.154355
78	0.001244	0.014559	0.010832	0.005442	-0.154583
79	0.001202	0.014002	0.010484	0.004592	-0.154818
80	0.001167	0.013108	0.010006	0.003739	-0.155060
81	0.001137	0.011900	0.009401	0.002888	-0.155309
82	0.001105	0.010410	0.008677	0.002041	-0.155563
83	0.001065	0.008675	0.007841	0.001202	-0.155824
84	0.001005	0.006741	0.006903	0.000374	-0.156091
85	0.000916	0.004656	0.005874	-0.000439	-0.156364
86	0.000788	0.002474	0.004766	-0.001234	-0.156642
87	0.000613	0.000248	0.003593	-0.002008	-0.156925
88	0.000388	-0.001965	0.002369	-0.002756	-0.157213
89	0.000117	-0.004110	0.001109	-0.003476	-0.157507
90	-0.000196	-0.006135	-0.000172	-0.004165	-0.157805
91	-0.000539	-0.007990	-0.001458	-0.004818	-0.158107
92	-0.000900	-0.009629	-0.002734	-0.005435	-0.158414
93	-0.001262	-0.011015	-0.003984	-0.006011	-0.158724
94	-0.001607	-0.012114	-0.005192	-0.006545	-0.159039
95	-0.001917	-0.012902	-0.006345	-0.007034	-0.159357
96	-0.002174	-0.013362	-0.007427	-0.007477	-0.159678
97	-0.002361	-0.013486	-0.008427	-0.007872	-0.160002
98	-0.002465	-0.013275	-0.009332	-0.008218	-0.160329
99	-0.002476	-0.012738	-0.010132	-0.008514	-0.160659
100	-0.002394	-0.011894	-0.010818	-0.008760	-0.160991
101	-0.002220	-0.010768	-0.011381	-0.008956	-0.161325
102	-0.001963	-0.009391	-0.011816	-0.009101	-0.161661
103	-0.001632	-0.007805	-0.012117	-0.009198	-0.161998
104	-0.001241	-0.006051	-0.012283	-0.009246	-0.162337
105	-0.000807	-0.004178	-0.012311	-0.009246	-0.162676
106	-0.000345	-0.002236	-0.012202	-0.009202	-0.163017
107	0.000126	-0.000276	-0.011958	-0.009114	-0.163358
108	0.000588	0.001650	-0.011583	-0.008984	-0.163699
109	0.001024	0.003494	-0.011082	-0.008816	-0.164041
110	0.001418	0.005209	-0.010461	-0.008611	-0.164382
111	0.001753	0.006752	-0.009727	-0.008373	-0.164723
112	0.002017	0.008088	-0.008891	-0.008104	-0.165063
113	0.002197	0.009185	-0.007961	-0.007809	-0.165403
114	0.002287	0.010019	-0.006950	-0.007489	-0.165741
115	0.002284	0.010574	-0.005868	-0.007149	-0.166077
116	0.002189	0.010842	-0.004728	-0.006792	-0.166412
117	0.002009	0.010822	-0.003543	-0.006421	-0.166746
118	0.001754	0.010521	-0.002326	-0.006039	-0.167077
119	0.001436	0.009954	-0.001090	-0.005651	-0.167405
120	0.001073	0.009141	0.000151	-0.005259	-0.167732
121	0.000679	0.008111	0.001383	-0.004867	-0.168055
122	0.000273	0.006895	0.002595	-0.004478	-0.168375
123	-0.000128	0.005530	0.003772	-0.004095	-0.168692
124	-0.000505	0.004056	0.004904	-0.003722	-0.169006
125	-0.000839	0.002515	0.005978	-0.003360	-0.169316
126	-0.001114	0.000949	0.006984	-0.003013	-0.169622
127	-0.001318	-0.000600	0.007911	-0.002683	-0.169924
128	-0.001443	-0.002092	0.008751	-0.002374	-0.170222
129	-0.001485	-0.003489	0.009496	-0.002086	-0.170515
130	-0.001446	-0.004756	0.010138	-0.001823	-0.170803
131	-0.001334	-0.005863	0.010671	-0.001586	-0.171087
132	-0.001162	-0.006786	0.011091	-0.001376	-0.171366
133	-0.000946	-0.007505	0.011393	-0.001197	-0.171639
134	-0.000702	-0.008007	0.011577	-0.001048	-0.171907
135	-0.000450	-0.008284	0.011639	-0.000930	-0.172169
136	-0.000205	-0.008335	0.011581	-0.000846	-0.172426
137	0.000017	-0.008164	0.011404	-0.000795	-0.172677
138	0.000202	-0.007781	0.011109	-0.000779	-0.172922
139	0.000338	-0.007201	0.010701	-0.000796	-0.173161
140	0.000421	-0.006445	0.010185	-0.000848	-0.173393
141	0.000450	-0.005536	0.009565	-0.000935	-0.173619
142	0.000429	-0.004501	0.008850	-0.001055	-0.173839
143	0.000366	-0.003370	0.008046	-0.001208	-0.174051
144	0.000276	-0.002173	0.007163	-0.001394	-0.174257
145	0.000172	-0.000943	0.006209	-0.001611	-0.174456
146	0.000070	0.000288	0.005196	-0.001858	-0.174649
147	-0.000015	0.001489	0.004133	-0.002135	-0.174834
148	-0.000072	0.002631	0.003032	-0.002438	-0.175012
149	-0.000093	0.003687	0.001906	-0.002766	-0.175182
150	-0.000071	0.004630	0.000765	-0.003118	-0.175346
151	-0.000007	0.005442	-0.000378	-0.003492	-0.175502
152	0.000097	0.006103	-0.001511	-0.003884	-0.175650
153	0.000233	0.006602	-0.002621	-0.004293	-0.175791
154	0.000389	0.006928	-0.003697	-0.004716	-0.175925
155	0.000551	0.007079	-0.004727	-0.005150	-0.176051
156	0.000702	0.007053	-0.005701	-0.005593	-0.176170
157	0.000827	0.006856	-0.006606	-0.006043	-0.176281
158	0.000913	0.006496	-0.007435	-0.006495	-0.176384
159	0.000950	0.005986	-0.008176	-0.006948	-0.176480
160	0.000934	0.005341	-0.008823	-0.007398	-0.176568
161	0.000864	0.004580	-0.009368	-0.007842	-0.176649
162	0.000743	0.003723	-0.009804	-0.008279	-0.176722
163	0.000579	0.002794	-0.010128	-0.008704	-0.176788
164	0.000378	0.001816	-0.010335	-0.009116	-0.176846
165	0.000152	0.000812	-0.010423	-0.009512	-0.176896
166	-0.000089	-0.000192	-0.010390	-0.009888	-0.176940
167	-0.000333	-0.001175	-0.010238	-0.010244	-0.176976
168	-0.000571	-0.002114	-0.009967	-0.010576	-0.177004
169	-0.000792	-0.002991	-0.009582	-0.010882	-0.177026
170	-0.000988	-0.003788	-0.009086	-0.011161	-0.177040
171	-0.001150	-0.004491	-0.008485	-0.011411	-0.177048
172	-0.001273	-0.005087	-0.007787	-0.011630	-0.177048
173	-0.001356	-0.005569	-0.007000	-0.011817	-0.177042
174	-0.001395	-0.005931	-0.006133	-0.011971	-0.177029
175	-0.001387	-0.006171	-0.005196	-0.012092	-0.177009
176	-0.001332	-0.006289	-0.004202	-0.012177	-0.176983
177	-0.001226	-0.006288	-0.003162	-0.012228	-0.176950
178	-0.001071	-0.006173	-0.002089	-0.012243	-0.176912
179	-0.000871	-0.005953	-0.000997	-0.012223	-0.176867
180	-0.000629	-0.005636	0.000101	-0.012169	-0.176816
181	-0.000356	-0.005232	0.001191	-0.012079	-0.176760
182	-0.000062	-0.004752	0.002259	-0.011955	-0.176698
183	0.000241	-0.004206	0.003292	-0.011798	-0.176631
184	0.000538	-0.003607	0.004276	-0.011608	-0.176558
