Year	10_30yr	30_50yr	50_80yr	80_200yr	200_500yr
0	0.000285	-0.023835	-0.001651	-0.077358	-0.122915
1	0.001635	-0.030536	-0.002922	-0.075159	-0.120670
2	0.002398	-0.036845	-0.004180	-0.072772	-0.118407
3	0.002391	-0.042641	-0.005411	-0.070189	-0.116126
4	0.001708	-0.047805	-0.006604	-0.067405	-0.113830
5	0.000607	-0.052219	-0.007745	-0.064415	-0.111518
6	-0.000614	-0.055774	-0.008826	-0.061214	-0.109192
7	-0.001709	-0.058370	-0.009835	-0.057800	-0.106852
8	-0.002533	-0.059923	-0.010766	-0.054171	-0.104500
9	-0.003055	-0.060362	-0.011610	-0.050325	-0.102137
10	-0.003331	-0.059639	-0.012363	-0.046265	-0.099763
11	-0.003470	-0.057727	-0.013021	-0.041990	-0.097380
12	-0.003592	-0.054623	-0.013580	-0.037506	-0.094989
13	-0.003793	-0.050353	-0.014040	-0.032817	-0.092591
14	-0.004133	-0.044969	-0.014401	-0.027929	-0.090186
15	-0.004623	-0.038553	-0.014665	-0.022849	-0.087777
16	-0.005231	-0.031212	-0.014834	-0.017586	-0.085364
17	-0.005891	-0.023081	-0.014913	-0.012150	-0.082949
18	-0.006514	-0.014320	-0.014907	-0.006553	-0.080532
19	-0.007004	-0.005111	-0.014822	-0.000808	-0.078115
20	-0.007269	0.004348	-0.014664	0.005072	-0.075699
21	-0.007227	0.013843	-0.014440	0.011071	-0.073285
22	-0.006817	0.023153	-0.014156	0.017174	-0.070875
23	-0.006001	0.032053	-0.013821	0.023364	-0.068469
24	-0.004766	0.040322	-0.013440	0.029622	-0.066069
25	-0.003122	0.047746	-0.013020	0.035931	-0.063675
26	-0.001108	0.054129	-0.012567	0.042271	-0.061290
27	0.001211	0.059293	-0.012086	0.048623	-0.058914
28	0.003741	0.063089	-0.011580	0.054966	-0.056549
29	0.006365	0.065400	-0.011053	0.061280	-0.054196
30	0.008946	0.066144	-0.010507	0.067545	-0.051855
