Year	10_30yr	30_50yr	50_80yr	80_200yr	200_500yr
0	0.002555	0.025028	0.047060	0.120407	-0.267479
1	0.006945	0.031368	0.053759	0.128387	-0.263809
2	0.010788	0.037087	0.060104	0.136177	-0.260115
3	0.014218	0.042008	0.066028	0.143750	-0.256400
4	0.017254	0.045977	0.071471	0.151074	-0.252665
5	0.019800	0.048865	0.076373	0.158122	-0.248913
6	0.021685	0.050575	0.080680	0.164866	-0.245144
7	0.022724	0.051047	0.084344	0.171281	-0.241361
8	0.022768	0.050259	0.087325	0.177342	-0.237566
9	0.021747	0.048229	0.089587	0.183026	-0.233759
10	0.019680	0.045015	0.091103	0.188312	-0.229944
11	0.016684	0.040712	0.091853	0.193180	-0.226122
12	0.012944	0.035448	0.091826	0.197614	-0.222295
13	0.008697	0.029384	0.091018	0.201597	-0.218465
14	0.004200	0.022704	0.089435	0.205118	-0.214633
15	-0.000294	0.015608	0.087090	0.208164	-0.210801
16	-0.004556	0.008309	0.084004	0.210728	-0.206972
17	-0.008385	0.001023	0.080206	0.212801	-0.203147
18	-0.011623	-0.006040	0.075732	0.214380	-0.199328
19	-0.014149	-0.012680	0.070625	0.215463	-0.195517
20	-0.015884	-0.018715	0.064936	0.216048	-0.191716
21	-0.016789	-0.023988	0.058718	0.216137	-0.187926
22	-0.016863	-0.028372	0.052033	0.215733	-0.184149
23	-0.016141	-0.031770	0.044946	0.214843	-0.180387
24	-0.014693	-0.034123	0.037524	0.213472	-0.176642
25	-0.012614	-0.035407	0.029839	0.211629	-0.172915
26	-0.010025	-0.035634	0.021964	0.209326	-0.169208
27	-0.007069	-0.034851	0.013972	0.206573	-0.165523
28	-0.003897	-0.033137	0.005940	0.203384	-0.161862
29	-0.000668	-0.030599	-0.002059	0.199774	-0.158225
30	0.002461	-0.027364	-0.009952	0.195759	-0.154614
31	0.005345	-0.023582	-0.017667	0.191356	-0.151032
32	0.007852	-0.019408	-0.025136	0.186584	-0.147479
33	0.009875	-0.015008	-0.032292	0.181462	-0.143957
34	0.011330	-0.010544	-0.039076	0.176010	-0.140467
35	0.012165	-0.006172	-0.045430	0.170250	-0.137011
36	0.012358	-0.002036	-0.051301	0.164203	-0.133590
37	0.011919	0.001738	-0.056643	0.157893	-0.130206
38	0.010890	0.005042	-0.061416	0.151341	-0.126859
39	0.009338	0.007795	-0.065585	0.144573	-0.123551
40	0.007360	0.009938	-0.069122	0.137611	-0.120282
41	0.005069	0.011442	-0.072005	0.130480	-0.117055
42	0.002595	0.012302	-0.074219	0.123203	-0.113870
43	0.000074	0.012539	-0.075758	0.115805	-0.110729
44	-0.002357	0.012196	-0.076619	0.108309	-0.107631
45	-0.004570	0.011336	-0.076808	0.100739	-0.104579
46	-0.006454	0.010042	-0.076338	0.093118	-0.101573
47	-0.007919	0.008404	-0.075226	0.085468	-0.098614
48	-0.008905	0.006526	-0.073498	0.077812	-0.095703
49	-0.009383	0.004512	-0.071182	0.070169	-0.092840
50	-0.009356	0.002469	-0.068313	0.062562	-0.090026
51	-0.008859	0.000497	-0.064932	0.055008	-0.087263
52	-0.007952	-0.001310	-0.061083	0.047528	-0.084550
53	-0.006717	-0.002869	-0.056812	0.040137	-0.081889
54	-0.005248	-0.004113	-0.052169	0.032854	-0.079279
55	-0.003644	-0.004989	-0.047208	0.025694	-0.076722
56	-0.002001	-0.005462	-0.041983	0.018670	-0.074218
57	-0.000407	-0.005513	-0.036549	0.011798	-0.071767
58	0.001059	-0.005142	-0.030961	0.005089	-0.069370
59	0.002335	-0.004368	-0.025276	-0.001446	-0.067026
60	0.003372	-0.003221	-0.019547	-0.007795	-0.064737
61	0.004140	-0.001750	-0.013828	-0.013949	-0.062503
62	0.004625	-0.000013	-0.008169	-0.019899	-0.060324
63	0.004833	0.001921	-0.002619	-0.025639	-0.058199
64	0.004783	0.003978	0.002777	-0.031161	-0.056130
65	0.004510	0.006078	0.007976	-0.036459	-0.054117
66	0.004056	0.008142	0.012941	-0.041528	-0.052158
67	0.003471	0.010089	0.017638	-0.046363	-0.050255
68	0.002802	0.011846	0.022035	-0.050962	-0.048408
69	0.002096	0.013343	0.026109	-0.055321	-0.046616
70	0.001395	0.014521	0.029838	-0.059438	-0.044879
71	0.000737	0.015329	0.033206	-0.063311	-0.043198
72	0.000153	0.015728	0.036200	-0.066938	-0.041572
73	-0.000331	0.015691	0.038814	-0.070321	-0.040001
74	-0.000699	0.015206	0.041043	-0.073458	-0.038484
75	-0.000938	0.014271	0.042890	-0.076350	-0.037023
76	-0.001043	0.012898	0.044357	-0.078999	-0.035615
77	-0.001014	0.011112	0.045454	-0.081405	-0.034262
78	-0.000860	0.008950	0.046191	-0.083570	-0.032962
79	-0.000596	0.006456	0.046583	-0.085498	-0.031716
80	-0.000247	0.003689	0.046644	-0.087189	-0.030523
81	0.000152	0.000710	0.046394	-0.088649	-0.029382
82	0.000559	-0.002411	0.045852	-0.089879	-0.028294
83	0.000928	-0.005599	0.045039	-0.090885	-0.027258
84	0.001214	-0.008778	0.043976	-0.091669	-0.026272
85	0.001376	-0.011871	0.042686	-0.092237	-0.025338
86	0.001379	-0.014801	0.041191	-0.092594	-0.024454
87	0.001204	-0.017495	0.039511	-0.092743	-0.023620
88	0.000844	-0.019884	0.037669	-0.092692	-0.022835
89	0.000313	-0.021904	0.035685	-0.092445	-0.022099
90	-0.000357	-0.023501	0.033576	-0.092009	-0.021411
91	-0.001119	-0.024627	0.031362	-0.091390	-0.020771
