Year	10_30yr	30_50yr	50_80yr	80_200yr	200_500yr
0	0.001807	0.002961	0.044230	0.034926	-0.400667
1	0.005694	0.004114	0.050615	0.039140	-0.396738
2	0.008902	0.005076	0.056695	0.043293	-0.392776
3	0.011409	0.005788	0.062414	0.047368	-0.388785
4	0.013254	0.006202	0.067716	0.051352	-0.384765
5	0.014481	0.006286	0.072548	0.055231	-0.380719
6	0.015113	0.006025	0.076861	0.058990	-0.376647
7	0.015142	0.005424	0.080609	0.062617	-0.372552
8	0.014550	0.004505	0.083749	0.066100	-0.368435
9	0.013324	0.003309	0.086247	0.069426	-0.364298
10	0.011480	0.001893	0.088070	0.072587	-0.360142
11	0.009075	0.000329	0.089195	0.075573	-0.355970
12	0.006209	-0.001302	0.089601	0.078375	-0.351782
13	0.003026	-0.002911	0.089277	0.080987	-0.347582
14	-0.000307	-0.004406	0.088218	0.083403	-0.343370
15	-0.003606	-0.005697	0.086423	0.085616	-0.339149
16	-0.006691	-0.006700	0.083903	0.087625	-0.334920
17	-0.009393	-0.007341	0.080670	0.089426	-0.330685
18	-0.011571	-0.007562	0.076748	0.091017	-0.326446
19	-0.013115	-0.007321	0.072165	0.092398	-0.322204
20	-0.013955	-0.006596	0.066956	0.093570	-0.317963
21	-0.014059	-0.005390	0.061163	0.094535	-0.313722
22	-0.013431	-0.003725	0.054831	0.095293	-0.309485
23	-0.012114	-0.001648	0.048013	0.095850	-0.305253
24	-0.010179	0.000772	0.040766	0.096209	-0.301028
25	-0.007726	0.003449	0.033153	0.096376	-0.296811
26	-0.004878	0.006278	0.025239	0.096356	-0.292605
27	-0.001777	0.009145	0.017091	0.096156	-0.288411
28	0.001423	0.011927	0.008783	0.095783	-0.284231
29	0.004561	0.014496	0.000386	0.095246	-0.280067
30	0.007479	0.016729	-0.008023	0.094553	-0.275920
31	0.010029	0.018510	-0.016370	0.093712	-0.271792
32	0.012081	0.019737	-0.024581	0.092735	-0.267685
33	0.013531	0.020322	-0.032579	0.091630	-0.263601
34	0.014304	0.020201	-0.040294	0.090407	-0.259541
35	0.014362	0.019334	-0.047654	0.089078	-0.255507
36	0.013702	0.017707	-0.054592	0.087653	-0.251501
37	0.012358	0.015333	-0.061045	0.086143	-0.247523
38	0.010401	0.012257	-0.066954	0.084557	-0.243576
39	0.007933	0.008547	-0.072264	0.082907	-0.239661
40	0.005086	0.004300	-0.076928	0.081202	-0.235779
41	0.002010	-0.000368	-0.080903	0.079452	-0.231933
42	-0.001131	-0.005319	-0.084153	0.077667	-0.228123
43	-0.004172	-0.010402	-0.086650	0.075855	-0.224350
44	-0.006958	-0.015458	-0.088374	0.074024	-0.220617
45	-0.009354	-0.020322	-0.089310	0.072181	-0.216925
46	-0.011250	-0.024832	-0.089454	0.070333	-0.213274
47	-0.012569	-0.028834	-0.088806	0.068484	-0.209666
48	-0.013270	-0.032187	-0.087379	0.066640	-0.206102
49	-0.013348	-0.034764	-0.085189	0.064804	-0.202584
50	-0.012832	-0.036464	-0.082262	0.062979	-0.199112
51	-0.011779	-0.037210	-0.078630	0.061166	-0.195688
52	-0.010273	-0.036951	-0.074334	0.059365	-0.192313
53	-0.008418	-0.035668	-0.069419	0.057576	-0.188987
54	-0.006329	-0.033371	-0.063936	0.055798	-0.185711
55	-0.004123	-0.030101	-0.057943	0.054028	-0.182487
56	-0.001915	-0.025928	-0.051500	0.052265	-0.179316
57	0.000192	-0.020949	-0.044674	0.050504	-0.176197
58	0.002110	-0.015286	-0.037531	0.048741	-0.173133
59	0.003773	-0.009079	-0.030142	0.046972	-0.170123
60	0.005131	-0.002489	-0.022579	0.045192	-0.167169
61	0.006154	0.004316	-0.014913	0.043395	-0.164271
62	0.006832	0.011158	-0.007216	0.041578	-0.161430
63	0.007169	0.017855	0.000440	0.039734	-0.158645
64	0.007187	0.024232	0.007988	0.037858	-0.155919
65	0.006919	0.030117	0.015361	0.035947	-0.153251
66	0.006411	0.035354	0.022495	0.033995	-0.150641
67	0.005715	0.039801	0.029331	0.031999	-0.148091
68	0.004889	0.043336	0.035815	0.029955	-0.145600
69	0.003989	0.045861	0.041897	0.027860	-0.143168
70	0.003070	0.047301	0.047530	0.025713	-0.140797
