Year	10_30yr	30_50yr	50_80yr	80_200yr	200_500yr
0	0.000993	0.010045	0.033194	0.015303	-0.414508
1	0.003033	0.012924	0.036861	0.017310	-0.412806
2	0.004814	0.015568	0.040290	0.019288	-0.411095
3	0.006366	0.017906	0.043446	0.021230	-0.409376
4	0.007682	0.019873	0.046295	0.023128	-0.407649
5	0.008717	0.021412	0.048806	0.024976	-0.405916
6	0.009397	0.022478	0.050949	0.026765	-0.404178
7	0.009651	0.023041	0.052699	0.028492	-0.402436
8	0.009428	0.023082	0.054033	0.030148	-0.400689
9	0.008713	0.022597	0.054932	0.031731	-0.398941
10	0.007541	0.021600	0.055382	0.033234	-0.397190
11	0.005984	0.020115	0.055371	0.034655	-0.395440
12	0.004152	0.018184	0.054894	0.035990	-0.393689
13	0.002173	0.015859	0.053948	0.037238	-0.391940
14	0.000185	0.013204	0.052537	0.038396	-0.390193
15	-0.001683	0.010289	0.050667	0.039463	-0.388449
16	-0.003321	0.007194	0.048351	0.040440	-0.386710
17	-0.004641	0.004000	0.045604	0.041326	-0.384975
18	-0.005584	0.000792	0.042449	0.042122	-0.383247
19	-0.006120	-0.002349	0.038909	0.042830	-0.381526
20	-0.006245	-0.005343	0.035013	0.043452	-0.379813
21	-0.005982	-0.008117	0.030794	0.043989	-0.378110
22	-0.005371	-0.010605	0.026288	0.044446	-0.376416
23	-0.004474	-0.012752	0.021534	0.044825	-0.374733
24	-0.003364	-0.014512	0.016573	0.045130	-0.373061
25	-0.002123	-0.015850	0.011449	0.045365	-0.371403
26	-0.000837	-0.016746	0.006207	0.045533	-0.369758
27	0.000407	-0.017189	0.000895	0.045639	-0.368128
28	0.001526	-0.017182	-0.004441	0.045688	-0.366512
29	0.002450	-0.016741	-0.009751	0.045684	-0.364914
30	0.003125	-0.015889	-0.014987	0.045630	-0.363332
31	0.003514	-0.014663	-0.020102	0.045533	-0.361768
32	0.003602	-0.013107	-0.025049	0.045396	-0.360222
33	0.003398	-0.011272	-0.029783	0.045224	-0.358696
34	0.002929	-0.009215	-0.034260	0.045020	-0.357190
35	0.002242	-0.007000	-0.038438	0.044790	-0.355705
36	0.001397	-0.004688	-0.042280	0.044535	-0.354242
37	0.000464	-0.002347	-0.045750	0.044261	-0.352801
38	-0.000486	-0.000041	-0.048817	0.043969	-0.351382
39	-0.001382	0.002167	-0.051451	0.043664	-0.349988
40	-0.002160	0.004219	-0.053628	0.043346	-0.348617
41	-0.002766	0.006060	-0.055329	0.043019	-0.347272
42	-0.003163	0.007641	-0.056538	0.042683	-0.345951
43	-0.003329	0.008923	-0.057245	0.042339	-0.344657
44	-0.003256	0.009872	-0.057442	0.041989	-0.343389
45	-0.002954	0.010465	-0.057128	0.041633	-0.342148
46	-0.002445	0.010689	-0.056308	0.041270	-0.340934
47	-0.001766	0.010541	-0.054988	0.040899	-0.339749
48	-0.000961	0.010026	-0.053182	0.040519	-0.338591
49	-0.000084	0.009164	-0.050907	0.040130	-0.337462
50	0.000807	0.007980	-0.048185	0.039728	-0.336362
51	0.001654	0.006513	-0.045040	0.039311	-0.335291
52	0.002403	0.004807	-0.041504	0.038877	-0.334250
53	0.003006	0.002918	-0.037608	0.038422	-0.333238
54	0.003424	0.000905	-0.033391	0.037944	-0.332257
55	0.003634	-0.001167	-0.028890	0.037440	-0.331305
56	0.003620	-0.003229	-0.024149	0.036904	-0.330385
57	0.003382	-0.005211	-0.019210	0.036334	-0.329494
58	0.002931	-0.007044	-0.014121	0.035726	-0.328635
59	0.002288	-0.008661	-0.008927	0.035076	-0.327806
60	0.001483	-0.010000	-0.003678	0.034380	-0.327008
61	0.000557	-0.011007	0.001579	0.033633	-0.326241
62	-0.000445	-0.011636	0.006795	0.032833	-0.325505
63	-0.001472	-0.011852	0.011922	0.031976	-0.324799
64	-0.002470	-0.011633	0.016915	0.031057	-0.324125
65	-0.003384	-0.010968	0.021726	0.030075	-0.323481
66	-0.004161	-0.009863	0.026314	0.029026	-0.322868
67	-0.004756	-0.008338	0.030635	0.027907	-0.322285
68	-0.005132	-0.006427	0.034653	0.026716	-0.321732
69	-0.005265	-0.004179	0.038331	0.025452	-0.321209
70	-0.005141	-0.001655	0.041636	0.024112	-0.320717
71	-0.004762	0.001072	0.044541	0.022697	-0.320253
72	-0.004142	0.003918	0.047021	0.021206	-0.319819
73	-0.003304	0.006794	0.049055	0.019638	-0.319415
74	-0.002279	0.009605	0.050627	0.017996	-0.319038
75	-0.001105	0.012255	0.051726	0.016280	-0.318690
76	0.000176	0.014651	0.052345	0.014494	-0.318370
77	0.001514	0.016701	0.052482	0.012638	-0.318078
78	0.002860	0.018325	0.052140	0.010719	-0.317812
79	0.004159	0.019453	0.051325	0.008739	-0.317574
80	0.005359	0.020026	0.050049	0.006704	-0.317361
81	0.006407	0.020005	0.048330	0.004620	-0.317174
82	0.007257	0.019366	0.046188	0.002493	-0.317013
83	0.007864	0.018106	0.043647	0.000330	-0.316875
84	0.008187	0.016241	0.040736	-0.001860	-0.316762
85	0.008194	0.013808	0.037487	-0.004070	-0.316673
86	0.007861	0.010863	0.033934	-0.006291	-0.316606
87	0.007178	0.007479	0.030116	-0.008513	-0.316562
88	0.006155	0.003748	0.026072	-0.010728	-0.316540
89	0.004821	-0.000227	0.021843	-0.012923	-0.316538
90	0.003223	-0.004332	0.017473	-0.015091	-0.316557
91	0.001425	-0.008444	0.013004	-0.017221	-0.316596
92	-0.000492	-0.012439	0.008481	-0.019301	-0.316654
93	-0.002438	-0.016192	0.003948	-0.021323	-0.316730
94	-0.004317	-0.019583	-0.000553	-0.023276	-0.316824
95	-0.006035	-0.022502	-0.004979	-0.025151	-0.316935
96	-0.007504	-0.024850	-0.009290	-0.026939	-0.317062
97	-0.008651	-0.026544	-0.013448	-0.028630	-0.317204
98	-0.009422	-0.027520	-0.017416	-0.030217	-0.317362
99	-0.009783	-0.027735	-0.021162	-0.031692	-0.317533
100	-0.009724	-0.027169	-0.024655	-0.033048	-0.317718
101	-0.009256	-0.025824	-0.027867	-0.034279	-0.317915
102	-0.008411	-0.023727	-0.030775	-0.035380	-0.318124
103	-0.007237	-0.020927	-0.033358	-0.036346	-0.318344
104	-0.005796	-0.017495	-0.035601	-0.037174	-0.318575
105	-0.004161	-0.013522	-0.037489	-0.037861	-0.318814
106	-0.002409	-0.009116	-0.039014	-0.038406	-0.319063
107	-0.000618	-0.004396	-0.040169	-0.038806	-0.319319
108	0.001135	0.000505	-0.040954	-0.039063	-0.319583
109	0.002777	0.005452	-0.041370	-0.039176	-0.319853
110	0.004245	0.010305	-0.041420	-0.039148	-0.320128
111	0.005490	0.014929	-0.041113	-0.038980	-0.320409
112	0.006469	0.019192	-0.040460	-0.038675	-0.320693
113	0.007156	0.022975	-0.039474	-0.038237	-0.320981
114	0.007534	0.026173	-0.038172	-0.037671	-0.321272
115	0.007597	0.028693	-0.036570	-0.036980	-0.321564
116	0.007351	0.030466	-0.034689	-0.036170	-0.321858
117	0.006814	0.031442	-0.032552	-0.035248	-0.322152
118	0.006016	0.031592	-0.030181	-0.034219	-0.322445
119	0.004998	0.030910	-0.027601	-0.033090	-0.322738
120	0.003809	0.029414	-0.024839	-0.031868	-0.323029
121	0.002509	0.027141	-0.021919	-0.030560	-0.323317
122	0.001160	0.024152	-0.018870	-0.029176	-0.323602
123	-0.000170	0.020522	-0.015718	-0.027721	-0.323884
124	-0.001417	0.016347	-0.012493	-0.026205	-0.324161
125	-0.002523	0.011731	-0.009220	-0.024637	-0.324432
126	-0.003435	0.006794	-0.005929	-0.023024	-0.324698
127	-0.004113	0.001658	-0.002646	-0.021376	-0.324958
128	-0.004533	-0.003547	0.000602	-0.019702	-0.325211
129	-0.004683	-0.008694	0.003788	-0.018011	-0.325456
130	-0.004570	-0.013655	0.006887	-0.016311	-0.325693
131	-0.004215	-0.018309	0.009875	-0.014613	-0.325921
132	-0.003653	-0.022546	0.012728	-0.012926	-0.326139
133	-0.002933	-0.026262	0.015424	-0.011258	-0.326348
